index,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,set,Expenses,group,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,1,0.0,0020,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e
22,0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,1,0.0,0020,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e
23,0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,1,0.0,0020,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e
35,0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,Dontch Datie,True,1,2740.0,0031,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e
33,0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,1,2854.0,0031,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e
34,0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,1,0.0,0031,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e,F/9/P,False,Mars,TRAPPIST-1e
8,0032_02,Europa,True,D/0/S,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,Dhena Pringry,,0,0.0,0032,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e
7,0032_01,Europa,True,D/0/S,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Acrabi Pringry,,0,0.0,0032,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e,D/0/S,False,Europa,TRAPPIST-1e
12,0040_02,Europa,False,D/2/P,TRAPPIST-1e,44.0,False,0.0,1561.0,0.0,14.0,224.0,Jihda Pinoffent,,0,1799.0,0040,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e
11,0040_01,Europa,False,D/2/P,TRAPPIST-1e,45.0,False,932.0,74.0,,7.0,1010.0,Antino Pinoffent,,0,2023.0,0040,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e,D/2/P,False,Europa,TRAPPIST-1e
45,0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,1,0.0,0044,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e
43,0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,1,0.0,0044,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e
44,0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,1,0.0,0044,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e,G/3/P,False,Earth,TRAPPIST-1e
46,0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,1,1214.0,0045,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e
47,0045_02,Mars,True,F/10/P,,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,1,0.0,0045,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e,F/10/P,False,Mars,TRAPPIST-1e
16,0046_03,Earth,False,F/11/P,TRAPPIST-1e,20.0,False,2.0,12.0,253.0,457.0,690.0,Joanny Powery,,0,1414.0,0046,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e
15,0046_02,Earth,False,F/11/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,903.0,,Glene Powery,,0,903.0,0046,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e
14,0046_01,Earth,False,G/4/P,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,1687.0,92.0,Neilda Powery,,0,1779.0,0046,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e,G/4/P,False,Earth,TRAPPIST-1e
19,0047_03,Europa,False,B/0/S,TRAPPIST-1e,40.0,False,26.0,1925.0,8.0,3144.0,63.0,? ?,,0,5166.0,0047,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e
18,0047_02,Europa,False,,TRAPPIST-1e,29.0,False,0.0,7708.0,243.0,569.0,343.0,Muons Prucerod,,0,8863.0,0047,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e
17,0047_01,Europa,True,B/0/S,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,Winonon Prucerod,,0,0.0,0047,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e,B/0/S,False,Europa,TRAPPIST-1e
24,0054_03,Europa,False,B/4/P,55 Cancri e,66.0,False,39.0,6452.0,0.0,1409.0,155.0,Winon Viouster,,0,8055.0,0054,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e
22,0054_01,Europa,True,B/4/P,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Algedia Viouster,,0,0.0,0054,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e
23,0054_02,Europa,False,B/4/P,55 Cancri e,27.0,False,0.0,6977.0,0.0,4.0,1235.0,Alteron Viouster,,0,8216.0,0054,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e,B/4/P,False,Europa,55 Cancri e
54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,1,4547.0,0056,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e
53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,1,0.0,0056,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e
52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,1,0.0,0056,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e,A/1/S,False,Europa,TRAPPIST-1e
59,0064_02,,True,E/3/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True,1,0.0,0064,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e
58,0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,? ?,True,1,0.0,0064,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e,F/14/S,False,Mars,TRAPPIST-1e
63,0067_03,Earth,False,F/15/S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,1,2007.0,0067,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22
62,0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,1,705.0,0067,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22
61,0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,1,0.0,0067,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22,G/10/S,False,Earth,PSO J318.5-22
77,0082_03,Mars,False,F/16/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,? ?,True,1,0.0,0082,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e
76,0082_02,Mars,True,F/16/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,1,0.0,0082,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e
75,0082_01,Mars,False,F/16/P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,1,7406.0,0082,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e,F/16/P,False,Mars,TRAPPIST-1e
84,0091_02,Earth,False,F/20/S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,1,917.0,0091,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e
83,0091_01,Earth,True,G/16/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True,1,0.0,0091,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e,G/16/S,False,Earth,TRAPPIST-1e
85,0092_01,Earth,False,G/9/P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,1,705.0,0092,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e
86,0092_02,Earth,True,G/9/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True,1,0.0,0092,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e
87,0092_03,Earth,True,G/9/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,1,0.0,0092,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e,G/9/P,False,Earth,TRAPPIST-1e
39,0094_02,Earth,False,F/21/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,866.0,0.0,Terta Santantines,,0,866.0,0094,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e
38,0094_01,Earth,True,G/17/S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Jaye Santantines,,0,0.0,0094,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e,G/17/S,False,Earth,TRAPPIST-1e
89,0098_01,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,1,893.0,0098,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e
90,0098_02,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,1,3855.0,0098,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e,G/11/P,False,Earth,TRAPPIST-1e
91,0099_01,Earth,False,F/19/P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,1,1301.0,0099,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22
92,0099_02,Earth,True,G/12/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,1,0.0,0099,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22,F/19/P,False,Earth,PSO J318.5-22
43,0100_02,Earth,False,G/13/P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Cochrisons,,0,0.0,0100,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e
42,0100_01,Earth,False,G/13/P,TRAPPIST-1e,,,0.0,17.0,997.0,0.0,0.0,Dary Cochrisons,,0,1014.0,0100,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e,G/13/P,False,Earth,TRAPPIST-1e
95,0103_01,Earth,False,F/24/S,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,Arlen Mclainez,True,1,17.0,0103,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e
96,0103_02,Earth,True,G/18/S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,1,0.0,0103,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e
97,0103_03,Earth,True,G/18/S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,1,0.0,0103,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e,F/24/S,False,Earth,TRAPPIST-1e
101,0108_02,Earth,False,G/19/S,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,? ?,False,1,888.0,0108,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e
102,0108_03,Earth,False,G/19/S,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,1,0.0,0108,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e
100,0108_01,Earth,True,G/19/S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,1,0.0,0108,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e,G/19/S,False,Earth,TRAPPIST-1e
103,0110_01,Europa,False,,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,1,5109.0,0110,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e
104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,1,2018.0,0110,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e
105,0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,1,15940.0,0110,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e
106,0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,1,0.0,0110,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e,B/5/P,False,Europa,TRAPPIST-1e
114,0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,1,0.0,0119,A/0/P,False,Europa,TRAPPIST-1e,A/0/P,False,Europa,TRAPPIST-1e,A/0/P,False,Europa,TRAPPIST-1e,A/0/P,False,Europa,TRAPPIST-1e,A/0/P,False,Europa,TRAPPIST-1e
