index,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,set,Expenses,FirstName,LastName,group,id,group_size,Financial,TravellerType,Cabin_y,LastName_y,HomePlanet_y,Cabin_deck,Cabin_num,Cabin_side,Cabin_Region1,Cabin_Region2,Cabin_Region3,Cabin_Region4,Cabin_Region5,Cabin_Region6,Age_group
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,1,0.0,Altardr,Flatic,8,2,3,poor,FAMILY,B/1/P,Flatic,Europa,B,1,P,True,False,False,False,False,False,5
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,1,8157.0,Wezena,Flatic,8,3,3,middle,FAMILY,B/1/P,Flatic,Europa,B,1,P,True,False,False,False,False,False,5
12,0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,1,1309.0,Berers,Barne,9,1,1,poor,INDIVIDUAL,F/1/P,Barne,Mars,F,1,P,True,False,False,False,False,False,5
13,0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,1,809.0,Reney,Baketton,10,1,1,poor,INDIVIDUAL,G/1/S,Baketton,Earth,G,1,S,True,False,False,False,False,False,5
14,0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,1,1003.0,Elle,Bertsontry,11,1,1,poor,INDIVIDUAL,F/2/P,Bertsontry,Earth,F,2,P,True,False,False,False,False,False,4
15,0012_01,Earth,False,,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,1,908.0,Justie,Pooles,12,1,1,poor,INDIVIDUAL,,Pooles,Earth,,-1,,True,False,False,False,False,False,5
0,0013_01,Earth,True,G/3/S,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Nelly Carsoning,,0,0.0,Nelly,Carsoning,13,1,1,poor,INDIVIDUAL,G/3/S,Carsoning,Earth,G,3,S,True,False,False,False,False,False,4
16,0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,Flats Eccle,False,1,1408.0,Flats,Eccle,14,1,1,poor,INDIVIDUAL,F/3/P,Eccle,Mars,F,3,P,True,False,False,False,False,False,4
17,0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,1,638.0,Carry,Hughriend,15,1,1,poor,INDIVIDUAL,F/4/P,Hughriend,Earth,F,4,P,True,False,False,False,False,False,4
18,0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,1,0.0,Alus,Upead,16,1,1,poor,INDIVIDUAL,F/5/P,Upead,Mars,F,5,P,True,False,False,False,False,False,5
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,1,0.0,Lyde,Brighttt,17,1,2,poor,FAMILY,G/0/P,Brighttt,Earth,G,0,P,True,False,False,False,False,False,1
20,0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,1,1092.0,Philda,Brighttt,17,2,2,poor,FAMILY,G/0/P,Brighttt,Earth,F,6,P,True,False,False,False,False,False,3
1,0018_01,Earth,False,F/4/S,TRAPPIST-1e,19.0,False,0.0,9.0,0.0,2823.0,0.0,Lerome Peckers,,0,2832.0,Lerome,Peckers,18,1,1,rich,INDIVIDUAL,F/4/S,Peckers,Earth,F,4,S,True,False,False,False,False,False,3
2,0019_01,Europa,True,C/0/S,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Sabih Unhearfus,,0,0.0,Sabih,Unhearfus,19,1,1,poor,INDIVIDUAL,C/0/S,Unhearfus,Europa,C,0,S,True,False,False,False,False,False,5
26,0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,1,0.0,Terta,Mcfaddennon,20,6,6,poor,FAMILY,E/0/S,Brantuarez,Earth,E,0,S,True,False,False,False,False,False,2
23,0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,1,0.0,Mollen,Mcfaddennon,20,3,6,poor,FAMILY,E/0/S,Brantuarez,Earth,E,0,S,True,False,False,False,False,False,4
24,0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,1,0.0,Breney,Jacostanley,20,4,6,poor,GROUP,E/0/S,Brantuarez,Earth,E,0,S,True,False,False,False,False,False,2
22,0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,1,0.0,Glendy,Brantuarez,20,2,6,poor,FAMILY,E/0/S,Brantuarez,Earth,E,0,S,True,False,False,False,False,False,5
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,1,0.0,Almary,Brantuarez,20,1,6,poor,FAMILY,E/0/S,Brantuarez,Earth,E,0,S,True,False,False,False,False,False,2
25,0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,1,0.0,Mael,Brantuarez,20,5,6,poor,FAMILY,E/0/S,Brantuarez,Earth,E,0,S,True,False,False,False,False,False,2
3,0021_01,Europa,False,C/1/S,TRAPPIST-1e,38.0,False,0.0,6652.0,0.0,181.0,585.0,Meratz Caltilter,,0,7418.0,Meratz,Caltilter,21,1,1,middle,INDIVIDUAL,C/1/S,Caltilter,Europa,C,1,S,True,False,False,False,False,False,5
27,0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,,False,1,1051.0,,,22,1,1,poor,INDIVIDUAL,D/0/P,,Mars,D,0,P,True,False,False,False,False,False,4
4,0023_01,Earth,False,F/5/S,TRAPPIST-1e,20.0,False,10.0,0.0,635.0,0.0,0.0,Brence Harperez,,0,645.0,Brence,Harperez,23,1,1,poor,INDIVIDUAL,F/5/S,Harperez,Earth,F,5,S,True,False,False,False,False,False,3
28,0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,1,0.0,Penton,Fullided,24,1,1,poor,INDIVIDUAL,C/2/S,Fullided,Europa,C,2,S,True,False,False,False,False,False,7
29,0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,1,1223.0,Karard,Brookenson,25,1,1,poor,INDIVIDUAL,F/6/S,Brookenson,Earth,F,6,S,True,False,False,False,False,False,3
30,0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,1,7861.0,Anyoni,Unconary,26,1,1,middle,INDIVIDUAL,C/0/P,Unconary,Europa,C,0,P,True,False,False,False,False,False,5
5,0027_01,Earth,False,F/7/P,TRAPPIST-1e,31.0,False,0.0,1615.0,263.0,113.0,60.0,Karlen Ricks,,0,2051.0,Karlen,Ricks,27,1,1,rich,INDIVIDUAL,F/7/P,Ricks,Earth,F,7,P,True,False,False,False,False,False,5
31,0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,1,1309.0,Ceros,Mare,28,1,1,poor,INDIVIDUAL,F/8/P,Mare,Mars,F,8,P,True,False,False,False,False,False,5
6,0029_01,Europa,True,B/2/P,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,Aldah Ainserfle,,0,0.0,Aldah,Ainserfle,29,1,1,poor,INDIVIDUAL,B/2/P,Ainserfle,Europa,B,2,P,True,False,False,False,False,False,4
32,0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,1,1821.0,Ginia,Morsentley,30,1,1,rich,INDIVIDUAL,G/4/S,Morsentley,Earth,G,4,S,True,False,False,False,False,False,5
35,0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,Dontch Datie,True,1,2740.0,Dontch,Datie,31,3,3,rich,FAMILY,F/9/P,Datie,Mars,F,9,P,True,False,False,False,False,False,3
34,0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,1,0.0,Cinets,Datie,31,2,3,poor,FAMILY,F/9/P,Datie,Mars,F,9,P,True,False,False,False,False,False,2
33,0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,1,2854.0,Coobix,Datie,31,1,3,rich,FAMILY,F/9/P,Datie,Mars,F,9,P,True,False,False,False,False,False,5
7,0032_01,Europa,True,D/0/S,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Acrabi Pringry,,0,0.0,Acrabi,Pringry,32,1,2,poor,FAMILY,D/0/S,Pringry,Europa,D,0,S,True,False,False,False,False,False,3
8,0032_02,Europa,True,D/0/S,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,Dhena Pringry,,0,0.0,Dhena,Pringry,32,2,2,poor,FAMILY,D/0/S,Pringry,Europa,D,0,S,True,False,False,False,False,False,4
9,0033_01,Earth,False,F/7/S,55 Cancri e,24.0,False,0.0,639.0,0.0,0.0,0.0,Eliana Delazarson,,0,639.0,Eliana,Delazarson,33,1,1,poor,INDIVIDUAL,F/7/S,Delazarson,Earth,F,7,S,True,False,False,False,False,False,4
36,0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,1,0.0,Ziba,Oingwhedly,34,1,1,poor,INDIVIDUAL,D/1/S,Oingwhedly,Europa,D,1,S,True,False,False,False,False,False,4
37,0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,1,2699.0,Luse,Butte,35,1,1,rich,INDIVIDUAL,D/1/P,Butte,Mars,D,1,P,True,False,False,False,False,False,4
38,0036_01,Earth,False,F/8/S,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,1,961.0,Marina,Leodger,36,1,1,poor,INDIVIDUAL,F/8/S,Leodger,Earth,F,8,S,True,False,False,False,False,False,3
10,0037_01,Earth,False,F/9/S,TRAPPIST-1e,19.0,False,339.0,3.0,136.0,237.0,0.0,Vivia Rickson,,0,715.0,Vivia,Rickson,37,1,1,poor,INDIVIDUAL,F/9/S,Rickson,Earth,F,9,S,True,False,False,False,False,False,3
39,0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,1,3355.0,Loise,Wheelez,38,1,1,rich,INDIVIDUAL,F/10/S,Wheelez,Earth,F,10,S,True,False,False,False,False,False,3
40,0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,1,0.0,Jorgie,Batthewitt,39,1,1,poor,INDIVIDUAL,G/1/P,Batthewitt,Earth,G,1,P,True,False,False,False,False,False,4
12,0040_02,Europa,False,D/2/P,TRAPPIST-1e,44.0,False,0.0,1561.0,0.0,14.0,224.0,Jihda Pinoffent,,0,1799.0,Jihda,Pinoffent,40,2,2,rich,FAMILY,D/2/P,Pinoffent,Europa,D,2,P,True,False,False,False,False,False,5
11,0040_01,Europa,False,D/2/P,TRAPPIST-1e,45.0,False,932.0,74.0,,7.0,1010.0,Antino Pinoffent,,0,2023.0,Antino,Pinoffent,40,1,2,rich,FAMILY,D/2/P,Pinoffent,Europa,D,2,P,True,False,False,False,False,False,5
41,0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,1,0.0,Margia,Moodsey,41,1,1,poor,INDIVIDUAL,G/2/P,Moodsey,Earth,G,2,P,True,False,False,False,False,False,3
13,0042_01,Mars,True,E/0/P,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0,Hamus Frité,,0,0.0,Hamus,Frité,42,1,1,poor,INDIVIDUAL,E/0/P,Frité,Mars,E,0,P,True,False,False,False,False,False,5
42,0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,1,3575.0,Ankalik,Cylistrand,43,1,1,rich,INDIVIDUAL,B/3/P,Cylistrand,Europa,B,3,P,True,False,False,False,False,False,5
45,0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,1,0.0,Cassa,Coopelandez,44,3,3,poor,FAMILY,G/3/P,Coopelandez,Earth,G,3,P,True,False,False,False,False,False,4
44,0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,1,0.0,Kayne,Coopelandez,44,2,3,poor,FAMILY,G/3/P,Coopelandez,Earth,G,3,P,True,False,False,False,False,False,2
43,0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,1,0.0,Jodye,Coopelandez,44,1,3,poor,FAMILY,G/3/P,Coopelandez,Earth,G,3,P,True,False,False,False,False,False,6
47,0045_02,Mars,True,F/10/P,,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,1,0.0,Mass,Chmad,45,2,2,poor,FAMILY,F/10/P,Chmad,Mars,F,10,P,True,False,False,False,False,False,3
46,0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,1,1214.0,Zelowl,Chmad,45,1,2,poor,FAMILY,F/10/P,Chmad,Mars,F,10,P,True,False,False,False,False,False,4
16,0046_03,Earth,False,F/11/P,TRAPPIST-1e,20.0,False,2.0,12.0,253.0,457.0,690.0,Joanny Powery,,0,1414.0,Joanny,Powery,46,3,3,poor,FAMILY,G/4/P,Powery,Earth,F,11,P,True,False,False,False,False,False,3
15,0046_02,Earth,False,F/11/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,903.0,,Glene Powery,,0,903.0,Glene,Powery,46,2,3,poor,FAMILY,G/4/P,Powery,Earth,F,11,P,True,False,False,False,False,False,4
14,0046_01,Earth,False,G/4/P,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,1687.0,92.0,Neilda Powery,,0,1779.0,Neilda,Powery,46,1,3,rich,FAMILY,G/4/P,Powery,Earth,G,4,P,True,False,False,False,False,False,4
18,0047_02,Europa,False,,TRAPPIST-1e,29.0,False,0.0,7708.0,243.0,569.0,343.0,Muons Prucerod,,0,8863.0,Muons,Prucerod,47,2,3,middle,FAMILY,B/0/S,Prucerod,Europa,,-1,,True,False,False,False,False,False,4
19,0047_03,Europa,False,B/0/S,TRAPPIST-1e,40.0,False,26.0,1925.0,8.0,3144.0,63.0,,,0,5166.0,,Prucerod,47,3,3,middle,GROUP,B/0/S,Prucerod,Europa,B,0,S,True,False,False,False,False,False,5
17,0047_01,Europa,True,B/0/S,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,Winonon Prucerod,,0,0.0,Winonon,Prucerod,47,1,3,poor,FAMILY,B/0/S,Prucerod,Europa,B,0,S,True,False,False,False,False,False,5
20,0048_01,Earth,False,G/5/S,TRAPPIST-1e,30.0,False,0.0,878.0,26.0,3.0,0.0,Tyle Deckerry,,0,907.0,Tyle,Deckerry,48,1,1,poor,INDIVIDUAL,G/5/S,Deckerry,Earth,G,5,S,True,False,False,False,False,False,4
21,0049_01,Earth,False,E/1/P,TRAPPIST-1e,14.0,False,,0.0,0.0,1609.0,0.0,Doria Flynney,,0,1609.0,Doria,Flynney,49,1,1,rich,INDIVIDUAL,E/1/P,Flynney,Earth,E,1,P,True,False,False,False,False,False,3
48,0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,Sony Lancis,False,1,790.0,Sony,Lancis,50,1,1,poor,INDIVIDUAL,E/1/S,Lancis,Earth,E,1,S,True,False,False,False,False,False,5
49,0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,1,1618.0,Vivia,Johnshines,51,1,1,rich,INDIVIDUAL,E/2/S,Johnshines,Earth,E,2,S,True,False,False,False,False,False,6
50,0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,1,4689.0,Elaney,Hubbarton,52,1,1,rich,INDIVIDUAL,G/6/S,Hubbarton,Earth,G,6,S,True,False,False,False,False,False,0
51,0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,1,1939.0,Elson,Hickerson,53,1,1,rich,INDIVIDUAL,F/11/S,Hickerson,Earth,F,11,S,True,False,False,False,False,False,4
22,0054_01,Europa,True,B/4/P,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Algedia Viouster,,0,0.0,Algedia,Viouster,54,1,3,poor,FAMILY,B/4/P,Viouster,Europa,B,4,P,True,False,False,False,False,False,5
23,0054_02,Europa,False,B/4/P,55 Cancri e,27.0,False,0.0,6977.0,0.0,4.0,1235.0,Alteron Viouster,,0,8216.0,Alteron,Viouster,54,2,3,middle,FAMILY,B/4/P,Viouster,Europa,B,4,P,True,False,False,False,False,False,4
24,0054_03,Europa,False,B/4/P,55 Cancri e,66.0,False,39.0,6452.0,0.0,1409.0,155.0,Winon Viouster,,0,8055.0,Winon,Viouster,54,3,3,middle,FAMILY,B/4/P,Viouster,Europa,B,4,P,True,False,False,False,False,False,7
25,0055_01,Earth,False,G/5/P,TRAPPIST-1e,24.0,False,1784.0,8.0,18.0,18.0,0.0,Brence Frederry,,0,1828.0,Brence,Frederry,55,1,1,rich,INDIVIDUAL,G/5/P,Frederry,Earth,G,5,P,True,False,False,False,False,False,4
52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,1,0.0,Okulas,Tractive,56,1,3,poor,FAMILY,A/1/S,Tractive,Europa,A,1,S,True,False,False,False,False,False,2
53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,1,0.0,Instab,Tractive,56,2,3,poor,FAMILY,A/1/S,Tractive,Europa,A,1,S,True,False,False,False,False,False,5
54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,1,4547.0,Zinoces,Tractive,56,3,3,rich,FAMILY,A/1/S,Tractive,Europa,A,1,S,True,False,False,False,False,False,4
26,0057_01,Europa,False,C/1/P,55 Cancri e,19.0,False,293.0,3495.0,5273.0,118.0,422.0,Gatrin Windend,,0,9601.0,Gatrin,Windend,57,1,1,middle,INDIVIDUAL,C/1/P,Windend,Europa,C,1,P,True,False,False,False,False,False,3
55,0058_01,Earth,True,G/7/S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,1,0.0,Warry,Ayalazquez,58,1,1,poor,INDIVIDUAL,G/7/S,Ayalazquez,Earth,G,7,S,True,False,False,False,False,False,5
27,0059_01,Earth,True,E/2/P,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Janne Carvis,,0,0.0,Janne,Carvis,59,1,1,poor,INDIVIDUAL,E/2/P,Carvis,Earth,E,2,P,True,False,False,False,False,False,5
28,0060_01,Earth,False,F/12/P,TRAPPIST-1e,21.0,False,0.0,619.0,12.0,3.0,0.0,Fanna Ashipeck,,0,634.0,Fanna,Ashipeck,60,1,1,poor,INDIVIDUAL,F/12/P,Ashipeck,Earth,F,12,P,True,False,False,False,False,False,4
56,0061_01,Earth,False,F/12/S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,1,2667.0,Shanya,Salez,61,1,1,rich,INDIVIDUAL,F/12/S,Salez,Earth,F,12,S,True,False,False,False,False,False,4
57,0062_01,Earth,False,F/13/S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,1,634.0,Sterry,Greeves,62,1,1,poor,INDIVIDUAL,F/13/S,Greeves,Earth,F,13,S,True,False,False,False,False,False,7
29,0063_01,Earth,True,G/8/S,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,Elene Daughessey,,0,0.0,Elene,Daughessey,63,1,1,poor,INDIVIDUAL,G/8/S,Daughessey,Earth,G,8,S,True,False,False,False,False,False,3
58,0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,,True,1,0.0,,Keen,64,1,2,poor,GROUP,F/14/S,Keen,Mars,F,14,S,True,False,False,False,False,False,3
59,0064_02,Mars,True,E/3/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True,1,0.0,Colatz,Keen,64,2,2,poor,GROUP,F/14/S,Keen,Mars,E,3,S,True,False,False,False,False,False,5
30,0065_01,Earth,True,G/9/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Monald Rushorney,,0,0.0,Monald,Rushorney,65,1,1,poor,INDIVIDUAL,G/9/S,Rushorney,Earth,G,9,S,True,False,False,False,False,False,4
60,0066_01,Earth,False,G/6/P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,1,811.0,Diandy,Pecketton,66,1,1,poor,INDIVIDUAL,G/6/P,Pecketton,Earth,G,6,P,True,False,False,False,False,False,7
61,0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,1,0.0,Ninaha,Leeves,67,1,3,poor,FAMILY,G/10/S,Leeves,Earth,G,10,S,True,False,False,False,False,False,1
63,0067_03,Earth,False,F/15/S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,1,2007.0,Velyne,Leeves,67,3,3,rich,FAMILY,G/10/S,Leeves,Earth,F,15,S,True,False,False,False,False,False,4
62,0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,1,705.0,Celine,Leeves,67,2,3,poor,FAMILY,G/10/S,Leeves,Earth,G,10,S,True,False,False,False,False,False,3
64,0068_01,Mars,False,E/4/S,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,1,1048.0,Cinst,Binie,68,1,1,poor,INDIVIDUAL,E/4/S,Binie,Mars,E,4,S,True,False,False,False,False,False,0
65,0069_01,Earth,False,F/16/S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,,True,1,902.0,,,69,1,1,poor,INDIVIDUAL,F/16/S,,Earth,F,16,S,True,False,False,False,False,False,5
66,0070_01,Earth,False,F/13/P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,1,922.0,Meremy,Brighttt,70,1,1,poor,INDIVIDUAL,F/13/P,Brighttt,Earth,F,13,P,True,False,False,False,False,False,3
67,0071_01,Earth,False,F/14/P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,1,2233.0,Nelly,Dillines,71,1,1,rich,INDIVIDUAL,F/14/P,Dillines,Earth,F,14,P,True,False,False,False,False,False,3
68,0072_01,Earth,False,F/17/S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,1,1064.0,Thell,Brantuarez,72,1,1,poor,INDIVIDUAL,F/17/S,Brantuarez,Earth,F,17,S,True,False,False,False,False,False,3
